alpha,a,b,c,phi1,PHI,phi2,volume,old_gid,phaseID,GrainID,final_discrete_volume,final_conti_volume
1.7310729026794434,7.831331953826816,5.007693979117258,7.831331953826816,234.80773305809726,76.41340618227518,162.1936520675501,3216.160400390625,782,1,1,3389.0,3216.1601433038413
7.198628902435303,9.57279375655307,3.1015044877492146,9.57279375655307,146.9257303758478,99.29632370057733,302.3224532020589,2976.31201171875,897,1,2,3169.25,2976.311869910279
28.146032333374023,8.425495584978844,2.539513453756906,8.425495584978844,79.8239823937872,65.07472682717012,201.99511331854129,1887.8612060546875,53,1,3,2025.625,1887.8611385819092
4.24822998046875,7.551928694402058,3.0545181332549127,7.551928694402058,128.51261129994586,119.37799475445783,355.18029789574217,1824.26171875,677,2,4,1884.25,1824.2614761917466
166.99447631835938,5.8514109589430845,4.000490582935551,5.8514109589430845,271.89173674537216,13.706465221676611,346.8413769748242,1434.376220703125,274,1,5,1404.5,1434.3762044597502
149.5580291748047,6.522815243792421,3.210905441824469,6.522815243792421,65.98062046755446,52.18433255652945,354.6025386011032,1430.6265869140625,763,1,6,1480.5,1430.6265781917311
4.18776273727417,6.908388917052146,2.449454107733658,6.908388917052146,256.1496479216834,128.02997642123103,27.852117485692354,1224.197509765625,705,1,7,1398.25,1224.1974839638258
135.337890625,6.18646945267605,2.800796175559797,6.18646945267605,207.84715282717448,127.65274172359359,156.58816042456206,1122.524658203125,415,1,8,1249.75,1122.5246027484832
155.3153839111328,4.79581059172931,3.6869985364140936,4.79581059172931,132.91855734062986,120.8137452094615,99.79312131666283,888.0259399414062,695,1,9,954.125,888.0258911834032
178.86065673828125,5.114196054723495,2.9093869473844687,5.114196054723495,171.98255758424537,139.6454304110466,93.71000539919329,796.865234375,122,2,10,812.625,796.8651792235988
1.505314826965332,5.766970363848906,2.1878615070300675,5.766970363848906,107.36520874872974,78.47330083345139,345.7114734705864,761.9805908203125,4,1,11,779.5,761.9805477913364
175.2838897705078,6.32441334526802,1.5446085960321072,6.32441334526802,11.727769535954875,72.33616179644011,280.98170701055335,646.97509765625,723,1,12,673.5,646.9750878603207
3.593816041946411,4.372764408365359,3.128088021924432,4.372764408365359,216.91353138136535,63.7351740750891,16.057785969355585,626.3538208007812,130,2,13,623.875,626.3538369337618
0.13563373684883118,5.51848718652605,1.9573746698331635,5.51848718652605,358.25605789252967,141.8400582375776,52.15881418820402,624.2271118164062,17,1,14,627.0,624.2271571451912
139.03973388671875,4.957751829621158,2.2132499696851826,4.957751829621158,147.09915143181982,73.12633089664764,52.457144245182164,569.677001953125,835,1,15,588.75,569.6769556189993
177.66920471191406,4.230232410825273,3.0036322935918287,4.230232410825273,265.48712485473396,112.81973573629837,121.16825900348569,562.864501953125,578,1,16,553.5,562.8644756759671
153.8590087890625,3.928469034759664,3.1404490983000755,3.928469034759664,284.95079910997123,53.31708427032223,281.14106186128555,507.5362854003906,834,2,17,505.75,507.53622496051435
34.319820404052734,5.149767482365491,1.7564285671597644,5.149767482365491,175.62070268146755,70.34998603029737,113.11308467240443,487.7916259765625,289,2,18,552.625,487.79163809591125
165.91334533691406,5.199094792772902,1.6732550675932205,5.199094792772902,130.64474030777234,42.25116058638664,359.50962857573444,473.6376953125,93,1,19,468.875,473.6376727953652
2.9037909507751465,4.517113870251611,2.1784896026353233,4.517113870251611,49.59512419770424,49.231882516983234,288.5569373302451,465.48553466796875,570,1,20,462.875,465.48553180755215
155.53311157226562,3.9511183014405105,2.644975924298324,3.9511183014405105,118.86821783390562,166.39811990644944,279.873079526286,432.40472412109375,212,1,21,537.625,432.40470176994256
174.7908477783203,3.871918594738325,2.6387665765074897,3.871918594738325,234.8678172950311,56.72956921408864,117.80546064674789,414.26861572265625,67,2,22,415.5,414.2686110956372
0.8595284223556519,4.368583502562268,1.9555066130134127,4.368583502562268,80.32172709297656,120.73494828060416,207.4390634452017,390.8132019042969,757,1,23,398.0,390.81316920863287
13.129027366638184,3.704217544263631,2.612815975257001,3.704217544263631,44.76760188405981,50.827131928654104,26.995151760267778,375.4312438964844,262,2,24,416.5,375.4312413711993
167.64219665527344,4.42970834540346,1.799502261361955,4.42970834540346,80.11075471150727,50.88546285129281,83.76389598697729,369.7696838378906,526,1,25,406.5,369.7696656978778
1.8804893493652344,3.6854519526035716,2.3300823959912758,3.6854519526035716,61.30972495516971,29.191163076105347,79.39195936182179,331.42205810546875,245,2,26,367.125,331.42205361404837
10.794306755065918,3.6892815217845545,2.295442010397866,3.6892815217845545,167.3359957793593,26.34859095442304,234.4736111480928,327.1738586425781,317,1,27,352.375,327.1738141322453
22.692798614501953,3.3143301599576573,2.6319987791558135,3.3143301599576573,224.1782795469604,22.017697204235123,330.98205592778856,302.76513671875,350,1,28,296.25,302.76511882746036
24.761167526245117,3.7660151967361606,1.999123297965072,3.7660151967361606,48.73749700107059,83.05012157229817,210.62841415033688,296.9151306152344,612,1,29,294.25,296.9151342069755
2.441128730773926,5.129930314008002,0.9445770284517787,5.129930314008002,319.8416332006052,50.96900982794817,232.76077375524164,260.3088684082031,451,2,30,280.25,260.30884714903
20.92584991455078,3.238305482309466,1.9931092933361299,3.238305482309466,244.7432548463485,112.79983065401531,109.6284563035485,218.87460327148438,900,1,31,221.625,218.8745984325909
151.67018127441406,3.009849195120039,2.261268551175239,3.009849195120039,322.54470712044656,89.20748670896401,95.88452126059768,214.52122497558594,148,2,32,216.125,214.52120777988787
