,AR (-),slope (°),inout
0,1.4071448034211647,174.95757,in
1,1.592208699272624,3.7806566,in
2,2.068380187558776,179.47815,in
3,1.5013306735515441,22.999520999999998,in
4,1.2437121187240028,2.6611854999999998,in
5,1.568655673910731,1.1758973999999998,in
6,2.311495562345086,151.22444,in
7,1.3061771091511913,33.71697,in
8,1.6830148429293246,0.797603,in
9,1.1930504089066611,73.99368,in
10,1.8159311142887045,2.0629953999999997,in
11,2.0442698584443724,179.05302,in
12,4.112552917930176,166.9823,in
13,2.794984195124281,172.43535,in
14,2.23004710596973,13.838238,in
15,1.611241058809623,1.965643,in
16,1.4992199258142411,82.51822,in
17,1.3629267853868134,96.51475500000001,in
18,2.2914147673809095,2.6606490000000003,in
19,1.4988880925414314,172.653,in
20,1.8406160183055396,0.22181992,in
21,2.5784356128034975,1.0415040999999998,in
22,1.260255781561672,2.4969127,in
23,2.373842655322871,14.062826999999999,in
24,2.270939590846348,109.582054,in
25,1.4554890164622438,174.56406,in
26,1.4222825828148393,177.86694,in
27,1.1683108188023072,105.08412,in
28,1.1927190268204737,4.682705,in
29,1.951916102790919,39.346554,in
30,1.2191745928425533,98.824196,in
31,2.5035252974581237,3.4926176,in
32,1.677376795411964,171.62771999999998,in
33,1.4932579792590563,168.72191,in
34,1.7943525955060213,1.5276542,in
35,1.2581864138938967,99.51787,in
36,1.6295589407863142,1.5051507,in
37,1.927088046869418,172.1735,in
38,1.54554819570553,5.4998949999999995,in
39,1.6996380022921114,5.2813349999999994,in
40,2.4693642856889912,9.140248,in
41,2.565989623364398,24.865394592285156,out
42,1.7974734912028831,174.64688110351562,out
43,1.06554018487637,92.84260559082031,out
44,3.2621829100417417,19.86625099182129,out
45,1.162532807490784,53.71845245361328,out
46,1.732050714893704,45.0,out
47,1.7320508386561266,90.0,out
48,1.414213626312762,0.0,out
49,3.004510346819855,0.0,out
50,3.1097208936055516,21.909109115600586,out
51,1.264394014193772,30.880348205566406,out
52,1.206523983859409,23.977386474609375,out
53,1.2152093504531958,18.006309509277344,out
54,1.4793168447177616,169.27999877929688,out
55,1.5311493458297631,66.43640899658203,out
56,1.9109192227572298,169.48406982421875,out
57,2.4280383931573857,7.10205078125,out
58,4.988099861146104,179.0057830810547,out
59,2.5524577483010797,177.7626495361328,out
60,1.1044262720991367,175.96058654785156,out
61,1.7425323252893667,134.94247436523438,out
62,1.176342122126433,127.04911041259766,out
63,1.4080561729495746,163.8417205810547,out
64,1.7186181487161898,176.8019561767578,out
65,2.1359561564804266,169.403564453125,out
66,1.2092198400157703,179.34674072265625,out
67,2.16081294269867,31.68574333190918,out
68,1.732050714893704,135.0,out
69,1.7320508386561266,0.0,out
70,1.2656347635797904,140.78775024414062,out
71,1.2215793134894117,1.4292317628860474,out
72,1.868980450097148,155.25009155273438,out
73,1.75718024204019,3.6155905723571777,out
74,4.493713665977675,12.707291603088379,out
75,1.732430423229803,135.73318481445312,out
76,1.5010811976374943,168.78167724609375,out
77,1.9898294391073736,5.294239044189453,out
78,1.732050714893704,45.0,out
79,1.385529392817306,10.932369232177734,out
80,1.4933396195651738,113.47935485839844,out
81,1.7320508386561266,0.0,out
