Grain Radius of Reference Sphere (µm);Normalized Density Input (-);Normalized Density Output (-)
0.0;0.04159410476844879;0.1310133025082088
0.0034381876375275057;0.04221471786382644;0.1315311387908336
0.006876375275055011;0.04284207614755946;0.1320493632795407
0.010314562912582518;0.0434762074466622;0.13256796517234534
0.013752750550110023;0.04411713888853105;0.13308693362089025
0.01719093818763753;0.04476489688652631;0.1336062577308584
0.020629125825165035;0.04541950712558547;0.13412592656238906
0.02406731346269254;0.046080994547869965;0.13464592913049922
0.027505501100220046;0.04674938333845444;0.1351662544055085
0.03094368873774755;0.04742469691106098;0.135686891313467
0.03438187637527506;0.04810695789384569;0.13620782873658918
0.037820064012802565;0.04879618811524198;0.1367290555136906
0.04125825165033007;0.04949240858986786;0.13725056044062822
0.044696439287857576;0.050195639504500206;0.1377723322707458
0.04813462692538508;0.0509059002041248;0.13829435971532253
0.051572814562912586;0.05162320917806501;0.1388166314440253
0.05501100220044009;0.05234758404619651;0.13933913608536577
0.0584491898379676;0.053079041545254585;0.13986186222716035
0.0618873774754951;0.05381759751523634;0.14038479841699467
0.06532556511302261;0.05456326688590901;0.14090793316269132
0.06876375275055012;0.05531606366342276;0.14143125493278216
0.07220194038807762;0.05607600091704385;0.14195475215698308
0.07564012802560513;0.05684309076600321;0.14247841322667398
0.07907831566313263;0.057617344366474844;0.14300222649538125
0.08251650330066014;0.05839877189868464;0.14352618027926456
0.08595469093818764;0.059187382554159305;0.1440502628576073
0.08939287857571515;0.05998318452311726;0.14457446247331
0.09283106621324265;0.06078618498201155;0.14509876733338795
0.09626925385077016;0.06159639008122725;0.1456231656094723
0.09970744148829766;0.06241380493294265;0.1461476454383148
0.10314562912582517;0.06323843359915561;0.14667219492229472
0.10658381676335267;0.06407027907988591;0.1471968021299315
0.11002200440088018;0.06490934330155472;0.1477214550963993
0.1134601920384077;0.06575562710555377;0.14824614182404422
0.1168983796759352;0.06660913023699888;0.1487708502829074
0.1203365673134627;0.06746985133368782;0.14929556841124916
0.1237747549509902;0.06833778791525508;0.1498202841160772
0.1272129425885177;0.06921293637253868;0.150344985273678
0.13065113022604521;0.07009529195716035;0.150869659730152
0.13408931786357273;0.07098484877132509;0.1513942953019512
0.13752750550110024;0.07188159975784623;0.15191887977642
0.14096569313862772;0.07278553669040315;0.15244340091233965
0.14440388077615524;0.07369665016403411;0.15296784644047548
0.14784206841368275;0.07461492958587199;0.15349220406412695
0.15128025605121026;0.07554036316612874;0.1540164614596815
0.15471844368873774;0.0764729379093309;0.1545406062771703
0.15815663132626526;0.07741263960581546;0.15506462614082753
0.16159481896379277;0.07835945282348958;0.1555885086496532
0.16503300660132028;0.0793133608998572;0.15611224137797708
0.1684711942388478;0.08027434593432418;0.15663581187602754
0.17190938187637528;0.081242388780777;0.15715920767050162
0.1753475695139028;0.08221746904045198;0.15768241626513832
0.1787857571514303;0.08319956505508842;0.15820542514129535
0.18222394478895781;0.08418865390037981;0.15872822175852727
0.1856621324264853;0.08518471137972304;0.1592507935551672
0.1891003200640128;0.08618771201826998;0.15977312794891055
0.19253850770154032;0.08719762905728905;0.1602952123374021
0.19597669533906784;0.08821443444883983;0.1608170340988247
0.19941488297659532;0.08923809885076327;0.16133858059249073
0.20285307061412283;0.09026859162199513;0.16185983915943644
0.20629125825165034;0.09130588081820651;0.16238079712301826
0.20972944588917786;0.09234993318777032;0.16290144178951138
0.21316763352670534;0.09340071416806808;0.16342176044871073
0.21660582116423285;0.09445818788212842;0.1639417403745349
0.22004400880176037;0.09552231713561242;0.16446136882563095
0.22348219643928788;0.09659306341414255;0.16498063304598257
0.2269203840768154;0.0976703868809804;0.1654995202655198
0.23035857171434287;0.09875424637505974;0.1660180177007313
0.2337967593518704;0.09984459940937179;0.16653611255527798
0.2372349469893979;0.10094140216971359;0.16705379202060933
0.2406731346269254;0.10204460951379718;0.16757104327658137
0.2441113222644529;0.10315417497072443;0.16808785349207658
0.2475495099019804;0.1042700507408297;0.1686042098256256
0.2509876975395079;0.10539218769589588;0.16912009942603135
0.2544258851770354;0.10652053537973875;0.16963550943299394
0.2578640728145629;0.10765504200917694;0.17015042697773816
0.26130226045209043;0.10879565447537018;0.17066483918364228
0.26474044808961794;0.10994231834554365;0.17117873316686863
0.26817863572714545;0.11109497786509448;0.1716920960369958
0.27161682336467297;0.11225357596008355;0.17220491489765238
0.2750550110022005;0.11341805424011016;0.1727171768471524
0.278493198639728;0.11458835300157955;0.17322886897913126
0.28193138627725545;0.11576441123135413;0.1737399783831852
0.28536957391478296;0.1169461666108016;0.17425049214550956
0.28880776155231047;0.11813355552022989;0.1747603973495403
0.292245949189838;0.11932651304371793;0.1752696810765961
0.2956841368273655;0.12052497297433706;0.17577833040652147
0.299122324464893;0.12172886781976991;0.1762863324183316
0.3025605121024205;0.12293812880832387;0.17679367419085804
0.30599869973994803;0.12415268589533583;0.1773003428033955
0.3094368873774755;0.12537246776997707;0.1778063253363492
0.312875075015003;0.12659740186245022;0.17831160887188466
0.3163132626525305;0.1278274143515833;0.1788161804945768
0.319751450290058;0.12906243017281926;0.17932002729206076
0.32318963792758554;0.13030237302659606;0.17982313635568384
0.32662782556511305;0.1315471653871252;0.18032549478115725
0.33006601320264056;0.1327967285115607;0.1808270896692098
0.3335042008401681;0.1340509824495619;0.18132790812624128
0.3369423884776956;0.13530984605324423;0.1818279372649773
0.34038057611522304;0.13657323698752363;0.18232716420512413
0.34381876375275056;0.13784107174084406;0.18282557607402472
0.34725695139027807;0.13911326563629772;0.18332316000731433
