Grain Radius of Reference Sphere (µm);Normalized Density Input (-);Normalized Density Output (-)
0.0;0.017949036995218968;0.0887484815133395
0.0021879375875175034;0.01836382859562988;0.08955614523519193
0.004375875175035007;0.01878682916119145;0.09036897298534573
0.00656381276255251;0.019218165505432202;0.09118697255010301
0.008751750350070014;0.01965796553628677;0.09201015142563833
0.010939687937587518;0.020106358244663038;0.092838516814991
0.01312762552510502;0.020563473692387514;0.09367207562507412
0.015315563112622523;0.021029442999518783;0.09451083446369433
0.017503500700140028;0.021504398331022325;0.09535479963658673
0.019691438287657532;0.021988472882798007;0.09620397714446426
0.021879375875175036;0.022481800867053692;0.09705837268008093
0.024067313462692537;0.02298451749701579;0.09791799162531177
0.02625525105021004;0.023496758970971157;0.09878283904824905
0.028443188637727546;0.024018662455631935;0.0996529197003143
0.030631126225245046;0.0245503660688175;0.10052823801338756
0.032819063812762554;0.025092008861444807;0.10140879809695628
0.035007001400280055;0.025643730798823313;0.10229460373527978
0.037194938987797556;0.02620567274124587;0.10318565838457552
0.039382876575315064;0.02677797642387024;0.1040819651702226
0.041570814162832564;0.02736078443588585;0.10498352688398731
0.04375875175035007;0.02795424019895938;0.10589034598126806
0.04594668933786757;0.028558487944953744;0.1068024245783619
0.048134626925385074;0.029173672692916725;0.10771976444975366
0.05032256451290258;0.02979994022533199;0.10864236702542632
0.05251050210042008;0.030437437063630057;0.10957023338819534
0.05469843968793758;0.03108631044295358;0.11050336427106633
0.05688637727545509;0.031746708286173965;0.11144176005461587
0.05907431486297259;0.03241877917715399;0.11238542076439934
0.06126225245049009;0.03310267233325487;0.11333434606838193
0.0634501900380076;0.033798537577082934;0.11428853527439599
0.06563812762552511;0.03450652530747452;0.1152479873276259
0.0678260652130426;0.03522678646971526;0.11621270080811844
0.07001400280056011;0.03595947252499332;0.11718267392832216
0.07220194038807762;0.03670473541908248;0.1181579045306539
0.07438987797559511;0.03746272755025557;0.11913839008509422
0.07657781556311262;0.03823360173642671;0.12012412768681295
0.07876575315063013;0.03901751118152068;0.12111511405382326
0.08095369073814762;0.03981460944107005;0.12211134552466736
0.08314162832566513;0.04062505038703979;0.12311281805613249
0.08532956591318264;0.041448988171879864;0.12411952722099882
0.08751750350070014;0.04228657719180614;0.12513146820581925
0.08970544108821764;0.04313797204931075;0.12614863580873198
0.09189337867573515;0.04400332751490545;0.12717102443730574
0.09408131626325265;0.044882798488096655;0.12819862810642071
0.09626925385077015;0.04577653995759659;0.1292314404361806
0.09845719143828766;0.04668470696077521;0.13026945464986245
0.10064512902580516;0.04760745454235033;0.13131266357190105
0.10283306661332266;0.04854493771232764;0.13236105962590777
0.10502100420084017;0.04949731140318802;0.1334146348327284
0.10720894178835767;0.05046473042632986;0.13447338080853605
0.10939687937587517;0.05144734942777128;0.1355372887629623
0.11158481696339267;0.052445322843117675;0.13660634949726672
0.11377275455091018;0.05345880485180081;0.13768055340254454
0.11596069213842768;0.05448794933059348;0.13875989045797327
0.11814862972594518;0.05553290980641155;0.13984435022910022
0.12033656731346269;0.05659383940840593;0.14093392186616804
0.12252450490098019;0.05767089081935591;0.1420285941024831
0.1247124424884977;0.0587642162263694;0.14312835525282314
0.1269003800760152;0.05987396727090126;0.14423319321188832
0.1290883176635327;0.061000294998098496;0.14534309545279314
0.13127625525105022;0.06214334980548109;0.14645804902560178
0.1334641928385677;0.0633032813909695;0.14757804055590534
0.1356521304260852;0.06448023870027175;0.1487030562434447
0.1378400680136027;0.0656743698736364;0.14983308186077543
0.14002800560112022;0.06688582219198999;0.15096810275197875
0.14221594318863773;0.06811474202246559;0.152108103831417
0.14440388077615524;0.06936127476333746;0.15325306958253354
0.14659181836367274;0.07062556478837691;0.15440298405670053
0.14877975595119022;0.07190775539064109;0.1555578308721113
0.15096769353870773;0.07320798872570898;0.15671759321272138
0.15315563112622524;0.07452640575438232;0.157882253827234
0.15534356871374275;0.0758631461848617;0.15905179502813632
0.15753150630126025;0.07721834841442185;0.16022619869078197
0.15971944388877776;0.07859214947059234;0.16140544625252246
0.16190738147629524;0.07998468495187083;0.16258951871188715
0.16409531906381275;0.08139608896797859;0.16377839662781402
0.16628325665133026;0.0828264940796811;0.16497206011892754
0.16847119423884777;0.08427603123818954;0.16617048886286934
0.17065913182636527;0.08574482972416374;0.16737366209567825
0.17284706941388278;0.08723301708633469;0.16858155861121973
0.1750350070014003;0.08874071907976862;0.16979415676067025
0.17722294458891777;0.0902680596037901;0.17101143445204822
0.17941088217643528;0.09181516063958887;0.17223336914980206
0.18159881976395278;0.09338214218752766;0.17345993787444627
0.1837867573514703;0.09496912220417789;0.17469111720225303
0.1859746949389878;0.09657621653909956;0.17592688326499478
0.1881626325265053;0.09820353887139385;0.17716721174974154
0.1903505701140228;0.09985120064604924;0.1784120778987109
0.1925385077015403;0.1015193110101031;0.17966145650917226
0.1947264452890578;0.10320797674864701;0.18091532193340445
0.1969143828765753;0.10491730222069659;0.18217364807871017
0.19910232046409282;0.10664738929495436;0.18343640840748157
0.20129025805161033;0.10839833728548767;0.18470357593732364
0.2034781956391278;0.11017024288734974;0.18597512324123264
0.20566613322664531;0.11196320011217055;0.187251022447828
0.20785407081416282;0.11377730022374352;0.18853124524164294
0.21004200840168033;0.11561263167363059;0.18981576286346807
0.21222994598919784;0.11746928003682573;0.19110454611075364
0.21441788357671535;0.11934732794748774;0.19239756533806693
0.21660582116423285;0.12124685503478598;0.19369479045760743
0.21879375875175033;0.12316793785887585;0.19499619093977616
0.22098169633926784;0.12511064984704243;0.19630173581380633
