,AR (-),slope (°),inout
0,1.8445284351575542,6.482582,in
1,1.8479266408713027,121.17958,in
2,1.2367323869693116,12.948943,in
3,1.2752389497740113,20.391468,in
4,1.2015186784519185,43.26271,in
5,1.09497521928292,94.74802,in
6,4.1721418148408365,9.581641000000001,in
7,1.3856281195007218,141.15543,in
8,1.300677699709529,72.81406,in
9,1.5441862069248213,51.35433,in
10,1.090766381188708,33.282112,in
11,1.6432462286476943,61.85106700000001,in
12,1.5389212021329812,1.2817346,in
13,1.2712636412585478,156.28668000000002,in
14,1.2736599746028832,88.24661,in
15,2.2838124018825696,7.920072599999999,in
16,2.306443235874183,38.160786,in
17,1.513962818400503,3.0123627,in
18,3.4729434404130997,177.96854,in
19,2.9565014795889386,16.68777,in
20,1.2840346432816927,8.475756,in
21,2.2398493642451633,95.49554,in
22,2.325861072883215,9.337388,in
23,1.9764952980182202,72.04201,in
24,1.9796885509286235,12.772803999999999,in
25,1.231674027036349,35.839607,in
26,1.660959434912573,39.83979,in
27,2.13398774765434,7.912267,in
28,2.7988209406557085,137.21126999999998,in
29,1.9657022208917492,156.81831,in
30,1.05074976428281,113.279816,in
31,2.7537872857178205,131.04233,in
32,1.7479904583530637,12.5641365,in
33,1.3293220216005228,1.7473104,in
34,5.534831703094083,0.74931,in
35,1.312107181598284,99.72303000000001,in
36,2.425912675206316,0.30381778,in
37,1.60794541640048,6.783289,in
38,2.91859082202749,75.90781,in
39,1.4522645898244935,112.69405,in
40,3.2582197133643622,47.984283000000005,in
41,1.4669952184115842,94.70388,in
42,2.5417080518380897,88.85799399999999,in
43,4.218078460866087,162.98623999999998,in
44,4.619792143449482,22.211758,in
45,2.762313790528568,1.9811310000000002,in
46,1.5452860989192274,21.205593,in
47,1.8043091721400644,13.711858,in
48,1.5763834703921706,138.1185,in
49,1.1001022454392273,14.381263,in
50,2.6851131687362817,1.2796748,in
51,2.101297929527502,2.2687545,in
52,1.6617876136409104,168.58487,in
53,1.4029310038414742,68.78056,in
54,1.1845387029142351,33.873425,in
55,3.143905144902299,97.060074,in
56,3.6503127934869317,172.22707,in
57,1.9697873271000939,174.35577,in
58,1.9269598010912399,177.24993999999998,in
59,2.2226532445091616,11.069908999999999,in
60,2.088261347821613,121.618866,in
61,2.234253968034605,176.39636000000002,in
62,1.3393717780456875,67.46584,in
63,1.6073622941227605,176.57922,in
64,1.3337726982197369,72.57437,in
65,1.3299510174797131,116.88202,in
66,1.6288778810120785,172.65842,in
67,1.452082493579754,0.7976361999999999,in
68,1.110131009736402,8.180789,in
69,1.7495629465543625,175.4929,in
70,1.7021192239168879,168.74522,in
71,1.9786656477706654,177.57135,in
72,1.7494672913998257,175.74142,in
73,1.3979585397378003,178.29112,in
74,1.5962274924702897,37.34726,in
75,1.308894497553518,36.87755,in
76,1.6072205955330212,10.794307,in
77,3.491469422616824,0.7022713,in
78,1.1629016932377563,17.252863,in
79,2.5880802367487163,176.66718,in
80,1.1799332704830743,148.63593,in
81,2.09188191185635,62.11611,in
82,4.252053474190126,8.634006,in
83,2.537198900861351,0.83880115,in
84,5.875742682730115,50.10246,in
85,1.7058952266606133,148.27313,in
86,1.1956049680843572,155.78188,in
87,1.2429319684433717,51.47752,in
88,2.102602232536504,32.488234999999996,in
89,1.3278565791055394,97.13655,in
90,2.994067594280743,21.637787,in
91,1.2290105046635944,98.594185,in
92,1.1514844278507075,93.36245,in
93,1.9562419612815378,47.79657,in
94,1.4428427403976953,121.00908000000001,in
95,2.1850199224513127,42.24015,in
96,1.8822153274596287,117.48001000000001,in
97,3.3624802678622934,128.8452,in
98,2.8790651614499714,176.70073,in
99,1.3267997124391886,59.755196,in
100,2.889758034886366,162.67981,in
101,1.6394958602137697,174.33981,in
102,1.8815462110360002,178.22748,in
103,2.9705022955524862,1.8515423999999998,in
104,1.1287598735741649,108.83288600000002,in
105,1.7072527194368476,176.08505,in
106,3.5288322766849007,173.9054,in
107,2.266250026700996,32.265663,in
108,2.1900239405974937,1.3489642,in
109,1.2267678397473616,2.8455572,in
110,1.9932228265904577,175.96065,in
111,2.9054501456551707,0.95774174,in
112,2.4019340828624607,109.80706,in
113,1.3022896331312779,158.7078,in
114,1.1745384931198923,129.67192,in
115,1.0680069563994756,161.71245,in
116,1.6111072815999559,58.026577,in
117,2.1884573139250976,8.3704195,in
118,2.0725609931951494,176.18993,in
119,2.026747163742835,60.75823199999999,in
120,2.0332713984019932,2.134086,in
121,1.2785913445209232,35.286182000000004,in
122,2.5889606817689823,13.743517,in
123,1.5519295971004419,1.1753892,in
124,1.473623272941485,143.27723999999998,in
125,1.9120494133879875,1.3181843999999998,in
126,2.356686238230317,155.132,in
127,2.8710657374385606,87.92924000000001,in
128,5.218728394415413,6.352661,in
129,3.3364066420930603,0.62785363,in
130,1.329833193119589,87.84438,in
131,2.3205537179740157,172.08373999999998,in
132,1.880167695953386,43.83083,in
133,2.1601680158885563,5.6509366,in
134,3.4446804763999683,0.77433944,in
135,1.885728358780403,64.6599,in
136,1.6794271251834376,60.52306,in
137,6.173963296554873,0.23928098,in
138,3.4016615124544307,160.06276,in
139,1.5185641749034655,167.51453999999998,in
140,1.9867146799620377,5.138558,in
141,2.5175418749196146,144.04306,in
142,1.6447275463170115,10.035931,in
143,4.857095843634777,0.27273220000000004,in
144,1.4284832962036762,168.79938,in
145,1.7758636912404648,21.908487,in
146,1.3119663052375483,5.449076,in
147,1.8539467323963412,67.09924000000001,in
148,2.417383821400324,5.225796,in
149,2.1737956149541655,6.7725716,in
150,1.4350456056793675,149.38336,in
151,2.5248484115855523,178.91533,in
152,1.995853322495489,118.97500600000001,in
153,2.4275137737692667,4.0531907,in
154,1.2345752513937054,143.01576,in
155,1.9983756459864985,179.65247,in
156,1.2638833794706987,158.18483,in
157,1.6115122630829037,22.694805,in
158,1.46844354315673,60.821940000000005,in
159,1.3126972571258737,165.24399,in
160,3.125389426380709,157.46344,in
161,2.674195119242669,177.37106,in
162,1.48124820199526,119.64006,in
163,3.6588811806640424,99.85599,in
164,2.353256842329557,75.772705,in
165,2.366824167762035,178.93004,in
166,5.769461861109883,1.6577495,in
167,1.9404129168507658,36.78237,in
168,1.7768463523280222,17.656746,in
169,1.5497783617230483,139.81375,in
170,3.2360518008917603,178.00357,in
171,1.8399270023860803,0.5931418,in
172,2.8280521510608736,5.754894999999999,in
173,2.2400324664170133,139.03973,in
174,1.9388646171007937,4.6084347,in
175,1.6253033909715386,5.6361475,in
176,1.447523385593756,30.995967999999998,in
177,1.1570910660442981,169.53191999999999,in
178,1.199010716779223,101.869446,in
179,2.3584303108064466,71.088066,in
180,2.725040879823749,151.45377,in
181,1.8485072715742303,50.03941,in
182,2.6314119446873976,54.879169999999995,in
183,2.7001488045547015,165.39687,in
184,1.3556899282482149,94.93804,in
185,1.300735667493401,155.31538,in
186,2.5432586738220415,10.423741999999999,in
187,1.7806656339598648,161.5535,in
188,3.545811119749193,177.84026,in
189,1.2620080934242148,31.784115000000003,in
