,AR (-),slope (°),inout
0,1.621892406553129,135.4928,in
1,1.6707539254038004,160.98155,in
2,1.2522509944633158,82.15659000000001,in
3,1.6226110692768065,17.04557,in
4,2.367247833711477,179.12306,in
5,1.4595234191691278,6.204777,in
6,1.5830708865212344,40.785408000000004,in
7,1.541737582572094,176.71825,in
8,1.3551653153158216,4.867341000000001,in
9,1.2080259191239253,58.9669,in
10,1.466214557552574,171.1479,in
11,1.8122935875531772,170.16841000000002,in
12,1.6101956164313909,3.5798259,in
13,1.3983453638594547,123.50962,in
14,1.1662577821481976,62.971436,in
15,1.2492593268552823,28.121107000000002,in
16,1.914812238098467,176.62384,in
17,1.2939706159754303,85.03099,in
18,1.9415925973479093,141.97574,in
19,1.5252535253436412,172.19648999999998,in
20,1.4036422420790549,120.570625,in
21,2.185563312103985,119.30048000000001,in
22,1.1909461535461445,13.075191,in
23,1.3223269976642684,166.17567,in
24,2.03761197997585,0.863944,in
25,1.726750152622568,1.9590610000000002,in
26,1.4655883757017705,138.77902,in
27,1.4201246129638088,13.791257,in
28,1.3031893850450758,17.492136,in
29,1.1474141556612176,11.562373,in
30,1.428469277296422,5.3960247,in
31,2.356689399463955,0.3543946,in
32,1.1922586427165147,89.6038,in
33,1.4554890164622438,174.56406,in
34,3.3108789586341065,162.39084,in
35,1.2465096518130498,146.35106000000002,in
36,1.4357474514301156,166.84152,in
37,1.4356896175600524,24.292824,in
38,1.6011343998967582,14.725014999999999,in
39,1.3986948377725161,175.08516,in
40,1.4982403923217003,38.901768,in
41,1.3185525321932403,15.43247,in
42,1.2482555476291708,29.006446999999998,in
43,1.222769618818614,75.93164,in
44,1.2312503998282214,145.99522,in
45,1.142868611633514,88.45961,in
46,1.5817405149048303,13.555387,in
47,2.1260101694715052,0.7950549,in
48,1.2976496797399089,177.35458,in
49,1.5499280911853497,171.39713999999998,in
50,1.8439326658895048,20.843763,in
51,1.501263561318985,10.780904,in
52,1.429629367180952,161.88615,in
53,1.6339309039879806,1.9584441000000004,in
54,1.8621798980448152,165.67087,in
55,1.52358565743771,174.21584,in
56,1.6692377901749214,172.40053999999998,in
57,1.5617936805942454,30.034498,in
58,1.9544843652198531,176.61575,in
59,1.433096992447834,175.12613000000002,in
60,1.5268636786165457,16.085812,in
61,1.1864358755576987,96.63064,in
62,1.687124730581398,175.63678000000002,in
63,1.7816210739321852,10.939903,in
64,1.8147690138012424,179.142,in
65,1.4518437420695625,172.8752,in
66,1.2573633128452821,118.586845,in
67,1.3453947716974801,165.60785,in
68,1.5782946246336793,174.35455,in
69,1.212739695701754,150.96133,in
70,1.5302446424687022,1.8721316000000003,in
71,1.1545745513387156,73.20931999999999,in
72,1.1924092066453755,173.41472,in
73,1.225777390811215,48.79783,in
74,1.239303744580789,73.64016,in
75,2.498344683502841,178.4088,in
76,1.7753235709588837,178.77167,in
77,1.2424619629807085,145.40685,in
78,2.441585973685901,146.8791,in
79,2.1977969855119546,155.22943,in
80,1.4894231570011607,93.04805,in
81,1.4394094096072394,172.54276000000002,in
82,1.5058794721784545,49.650867,in
83,1.8004608928929673,171.19298,in
84,1.4821676169563023,173.65825,in
85,1.230925371693377,87.2036,in
86,1.8962273000667689,174.62503,in
87,1.6767806809869175,177.12479,in
88,1.3859429080001318,4.853136,in
89,1.321734255989866,174.96884,in
90,1.9616995920216955,146.17738,in
91,1.477923052831592,176.1046,in
92,1.3254815169609258,83.42738,in
93,1.1998949829421002,20.3758,in
94,2.9796399232384467,3.1111958,in
95,5.430928347786012,2.4411287,in
96,2.464332095906215,169.40807,in
97,1.7430491288132965,148.55482,in
98,1.2292164526928933,15.400177,in
99,1.3064088092827426,170.11182,in
100,1.4757348312618968,6.630781699999999,in
101,1.4710574382313328,125.4946,in
102,1.1994528835358154,102.68285999999999,in
103,1.2202848532420458,74.062965,in
104,1.5414846509585587,17.10116,in
105,1.4412540924637698,174.662,in
106,2.8976593044612367,178.50601,in
107,4.178564763684418,157.64536,in
108,2.3826624444558147,2.2299879000000002,in
109,1.2074412628487519,108.40653999999999,in
110,1.7363843286913825,171.08706999999998,in
111,1.1949113352273442,10.162807,in
112,1.3238743640062702,10.395888000000001,in
