,AR (-),slope (°),inout
0,2.412611095620961,21.577204000000002,in
1,2.2014496907968106,53.700493,in
2,4.558363284871324,29.74431,in
3,2.2047812633527415,6.319113300000001,in
4,2.339262763190232,178.14388,in
5,1.3236518305006084,142.20029,in
6,4.129001991117071,0.46393943,in
7,1.564597555891811,96.74378,in
8,1.969984179948582,173.9555,in
9,1.8197988461376495,11.578495,in
10,2.619806046704506,172.19099999999997,in
11,3.884031594580276,75.57668000000001,in
12,2.789378628893831,178.24489,in
13,2.4542801684938067,174.26686,in
14,1.0797152185559438,154.11348,in
15,2.3618377636959385,1.1655405,in
16,3.1566951884201058,161.84758,in
17,2.0960615620199152,93.44738000000001,in
18,2.0807755661717384,59.166095999999996,in
19,2.952092535211632,3.307582,in
20,1.8969952223383033,113.22786,in
21,1.4805697937468032,17.905079999999998,in
22,4.5817956259926245,146.00871,in
23,1.7297521812582637,1.7776504000000002,in
24,1.3932670757521834,22.979354999999998,in
25,2.9848025953043456,175.92702,in
26,1.5384320127284785,144.94695,in
27,2.621897565093377,1.1408114,in
28,2.591414850799563,178.1736,in
29,1.936026014822877,118.95586399999999,in
30,2.8725088872006372,2.3877968999999997,in
31,5.587668255905525,3.4858935,in
32,1.144575298757967,8.03241,in
33,2.8073744096494293,177.65563999999998,in
34,1.1584714087770573,128.81297,in
35,2.1934247884616225,2.3175044,in
36,1.3091388214276598,28.267307000000002,in
37,1.963209400167532,88.77828000000001,in
38,3.443398356098457,0.37088114,in
39,1.6040059902961277,120.71921999999999,in
40,1.6975086817796834,32.769833,in
41,2.333174788112374,178.01898,in
42,1.1444160889037478,12.113977,in
43,2.7492742219289728,179.63657,in
44,1.1553358283750201,117.32578999999998,in
45,4.307322146519919,2.742559,in
46,1.120183637400893,141.54564,in
47,5.630657198004962,16.773731,in
48,2.0894056077884984,176.96889,in
49,3.407861188285273,1.5106628999999998,in
50,1.5910999841490887,133.3872,in
51,2.0332713984019932,2.134086,in
52,1.7553347267940576,3.1423213,in
53,1.1625074955384682,96.87465,in
54,2.061369157471552,40.01308,in
55,3.4137945126050933,3.6002908,in
56,2.1544889515774246,24.459969,in
57,1.9554404028838668,167.49185180664062,out
58,3.702890234636943,153.0425567626953,out
59,2.4287977125356894,0.0,out
60,4.790664274881543,170.564453125,out
61,2.44086981935683,9.940352439880371,out
62,1.7109646004374017,11.061739921569824,out
63,1.2492858071854327,166.7998504638672,out
64,1.5811388793082133,0.0,out
65,7.290000381142085,177.0594482421875,out
66,2.2918128615404245,6.421916961669922,out
67,1.2842739969247625,159.0054473876953,out
68,1.7383368491469433,15.890342712402344,out
69,2.5851588815537663,30.105247497558594,out
70,2.01923783052348,157.5,out
71,2.522819852203369,174.34503173828125,out
72,1.5858943133862167,6.12115478515625,out
73,2.2020322877599456,8.488832473754883,out
74,1.6716222550783886,23.033096313476562,out
75,2.4406894935353756,31.834651947021484,out
76,2.217018713577421,7.507326602935791,out
77,1.5528711317853772,121.07530212402344,out
78,1.5129902130819413,47.01279830932617,out
79,1.928466909759285,22.33289337158203,out
80,1.946361144261559,143.29342651367188,out
81,2.223197416708671,80.7834701538086,out
82,1.618094744227191,27.627716064453125,out
83,2.393573154337613,19.751262664794922,out
84,1.7807701629750865,171.0184783935547,out
85,1.6638028059364494,9.24865436553955,out
86,2.479759197180555,11.81340503692627,out
87,1.218722213120582,60.48149871826172,out
88,2.2651170251533914,150.7842559814453,out
89,3.204858859469511,79.68841552734375,out
90,1.763343255393557,36.55095291137695,out
91,2.493050050599446,75.56497192382812,out
92,1.4908046404824598,163.93800354003906,out
93,1.0,0.0,out
94,2.066146859528154,117.79630279541016,out
95,1.008080818143155,0.0,out
96,1.8084045609343502,3.7350242137908936,out
97,2.448988423590258,108.46319580078125,out
98,1.5636072245925485,18.130435943603516,out
99,4.370212610566391,117.75611877441406,out
100,1.2180618395427631,34.01397705078125,out
101,29.24540280910845,0.8143763542175293,out
102,1.3125371520215274,29.171419143676758,out
103,2.2262091971428157,172.06825256347656,out
104,2.9947311829803898,17.14136505126953,out
105,1.1577405292336755,24.37960433959961,out
106,2.3450558342409247,133.47093200683594,out
107,1.101237019990286,156.68899536132812,out
108,1.6120323840953972,0.0,out
109,1.737346467552534,134.74154663085938,out
110,1.387242997733056,35.540897369384766,out
111,3.7564184909650944,175.8759765625,out
112,1.7696303996216707,8.437582969665527,out
113,1.4695646199930303,5.5705790519714355,out
