,AR (-),slope (°),inout
0,1.2642779863877802,132.31036,in
1,1.1651659486460706,70.67003000000001,in
2,1.3562894714361995,2.2534568,in
3,1.537824709914722,174.36108000000002,in
4,1.5420741188765004,102.38446,in
5,2.7436770187769786,173.30629,in
6,1.399707065145478,86.5125,in
7,1.3099049536607255,54.284317,in
8,1.7363843286913825,171.08706999999998,in
9,1.5805141898760078,7.695563000000001,in
10,1.6425816180172863,173.35599,in
11,1.2644253469894686,21.571507999999998,in
12,1.3141826908509129,5.165347,in
13,1.295444587220026,4.648143,in
14,1.7652392713634482,178.24329,in
15,1.5124804272523777,5.0520086,in
16,1.6338974103293544,94.94718,in
17,1.300242218596925,110.49864,in
18,1.2195604541497505,27.192815999999997,in
19,1.1657894885469327,15.736329000000001,in
20,1.2775596578206292,63.558406999999995,in
21,1.7434671300422746,19.325287,in
22,2.2042898076092676,1.454715,in
23,1.6494996321992903,13.755939000000001,in
24,1.5475654646077708,131.99991,in
25,1.9458934206195693,25.442938,in
26,1.3658989341785852,11.886610000000001,in
27,1.5065378105464025,168.50679,in
28,1.3150208302752648,6.0986533,in
29,1.1788370187267003,56.084435,in
30,2.8542260451715027,73.86954,in
31,1.2471921990106516,36.326115,in
32,1.730896672102836,100.76179,in
33,2.0166279512363285,68.287605,in
34,1.346069403450277,158.58618,in
35,1.4696994891647257,9.5359125,in
36,1.606110023277442,24.570913,in
37,1.5108447209890012,173.28073,in
38,1.6401505308682467,2.40088,in
39,1.1492326231138073,63.527283,in
40,1.13482541027921,140.76779,in
41,3.445743420862582,23.00935,in
42,1.8411807932122806,0.4238469,in
43,1.927088046869418,172.1735,in
44,1.5935870370757683,166.98878,in
45,1.5992670754405616,61.606846,in
46,1.5245563739857748,137.97662,in
47,1.6304801475697297,5.168657,in
48,1.4595814268586413,2.6187105,in
49,2.9245897836268644,92.64142,in
50,2.1929160277041855,3.227055,in
51,1.207673517338071,44.42215,in
52,2.735127019474067,142.42801,in
53,1.4932579792590563,168.72191,in
54,2.091286941412781,175.32664,in
55,1.4336848445468766,4.702564,in
56,1.5633208253387965,1.1876023999999998,in
57,1.4688860343025154,175.95988,in
58,1.1530245865432542,16.24685,in
59,1.621730923679804,177.173,in
60,1.1978263391469124,124.504326,in
61,1.244838810827862,146.89342,in
62,1.4067539816440062,25.103443,in
63,1.4100990648892844,55.34686,in
64,1.1833093661406275,9.815191,in
65,1.3633257535914622,6.7525414999999995,in
66,1.3158367330973624,173.91118,in
67,1.603481207909575,4.2096599999999995,in
68,1.6143953703405205,153.71849,in
69,1.7545853556637647,34.204384000000005,in
70,1.4912310275541365,157.07414,in
71,1.3551653153158216,4.867341000000001,in
72,1.7533589619128391,0.9056304000000001,in
73,1.6570467520075138,2.6598604,in
74,1.5275789612537478,170.81441999999998,in
75,1.4153859246130314,115.1292,in
76,1.8775332868387165,132.85216,in
77,1.3681087427496874,131.31935,in
78,1.2576446340903713,10.822666,in
79,1.6644726195667163,4.882286,in
80,1.406422838320617,175.54984,in
81,1.2808503612289925,37.18591,in
82,1.324788231521589,35.52851,in
83,1.4003282899000602,1.6276028,in
84,1.2453936504255778,124.70161,in
85,2.66383274908235,172.3682,in
86,4.254832452219277,170.64217,in
87,1.7204726491120594,169.17488,in
88,1.5421507161688848,172.54034,in
89,1.4178141531873472,10.554684,in
90,1.3711808446942815,129.70566000000002,in
91,1.8014655289103216,1.0875303,in
92,2.050289838487421,174.68546,in
93,1.5416304756893542,16.512058,in
94,2.5855014921471904,1.3112347,in
95,1.4861054097440367,25.011095,in
96,1.605133939882962,5.699674,in
97,1.5403053646730593,176.36498999999998,in
98,1.3363509622883445,17.82501,in
99,1.2625109596606368,2.132882,in
100,1.2694025293849045,56.50338000000001,in
101,4.26797110071014,0.47221193,in
102,2.6975826309786033,7.107801400000001,in
103,1.389949042244774,20.380095999999998,in
104,1.5725668572558456,112.9729,in
105,1.1606988616568323,34.547928000000006,in
106,1.4252011208810078,69.68992,in
107,1.2477677641636673,160.51712,in
108,1.6625279615153337,84.439926,in
109,1.4214915412904614,159.63518,in
110,2.103739511634743,6.4444237,in
111,1.2315234712991567,18.731071,in
112,1.2312503998282214,145.99522,in
113,2.939339779763829,172.98181,in
114,2.032346407248136,6.616367299999999,in
115,1.2415905678976846,66.23977,in
116,2.5027679051954768,165.18736,in
117,1.3884790824461042,169.5882,in
118,1.665386422429968,1.232856,in
119,1.28716512322971,35.33056,in
120,1.6243193856397957,1.9656377,in
121,1.2964466887014159,65.84515,in
122,1.8008279149577355,175.18755,in
123,1.618875653039411,170.82335,in
124,2.071372920247006,175.96546999999998,in
125,1.5501519834073687,171.3216,in
126,1.5247846572278874,2.697486,in
127,2.3097599009007292,172.84581,in
128,1.9540101709874262,17.00164,in
129,1.553689323857164,6.896172,in
130,1.6880119686243615,0.98871887,in
131,1.4352658011986812,177.90202,in
132,1.3698432681836494,54.04699,in
133,2.4585057172183715,176.63414,in
134,1.3482603885374693,53.95340699999999,in
135,1.4286997369462888,121.96377,in
136,1.445491361315479,172.94328000000002,in
137,1.4992199258142411,82.51822,in
138,1.8799470582742195,0.92059696,in
139,1.8465017158968218,173.40303,in
140,1.4811590875086043,173.16457,in
141,1.1559216334656006,48.107975,in
142,1.4692932478047662,51.377632,in
143,1.7653793367582098,0.8434629000000001,in
144,1.5832780709547796,4.120349,in
145,1.2176233062892952,106.480125,in
146,1.2610053814110236,111.07245,in
147,1.4359104101180664,15.447153,in
148,1.2836287592725106,2.0221941,in
149,1.7147523543286896,8.948466999999999,in
150,1.7272202149709486,1.1656138999999999,in
151,2.380518112613286,4.824656500000001,in
152,2.002270138132598,3.5226097000000003,in
153,2.5328615380935338,0.6597069000000001,in
154,1.4306997752240587,164.03793000000002,in
155,2.0919480976900595,174.96765,in
156,2.226397117814885,152.00496,in
157,1.6098492792722852,174.98946,in
158,1.2562667213511722,86.322136,in
159,1.2976496797399089,177.35458,in
160,1.4587719789412146,173.75223,in
161,1.764990585813482,178.51552,in
162,1.3798989926911251,96.06700000000001,in
163,1.3223269976642684,166.17567,in
164,2.2789137053132027,8.306455999999999,in
165,1.3269448284072547,15.745979,in
166,1.542412072916145,3.1738245,in
167,1.6076307633219602,0.44555646,in
168,1.433259335502229,15.16185,in
169,3.703169564792843,0.99096656,in
170,1.3596360017406162,174.19177,in
171,1.1989109572113759,76.84206999999999,in
172,2.2298117898222634,1.130016,in
173,1.253992153082738,106.07456,in
174,1.1357763462123154,59.59438000000001,in
175,2.3516166172875117,174.95337,in
176,1.1617691957269038,157.35953999999998,in
177,1.6385918855290615,172.50023000000002,in
178,2.2635989337274665,2.2118293999999996,in
179,1.524720418149827,19.651413,in
180,3.8402285864078305,177.83885,in
181,1.4550201680538475,145.98713999999998,in
182,1.2907712023330866,152.06833,in
183,1.8390870688420276,168.7464,in
184,2.3672097263615113,171.1134,in
185,1.3226257645670654,161.82703999999998,in
186,1.1885010575725277,170.09011999999998,in
187,1.8950296272969127,167.83003,in
188,1.181475489052241,3.0428915,in
189,1.4224741106904055,177.59094,in
190,1.6813539025219544,178.57898,in
191,1.251650982934194,47.06381,in
192,1.3983453638594547,123.50962,in
193,1.71413312919094,163.76834,in
194,4.291278864146712,171.80671999999998,in
195,1.3195066024166258,1.6269431,in
196,1.3257985539684276,4.1048784,in
197,1.1065844393154132,103.96154,in
198,1.443346779691512,152.14145,in
199,1.7057277303655554,176.65756000000002,in
200,1.5321897894897794,178.24673,in
201,1.7360572304791209,1.9805560000000002,in
202,1.7952343195838785,176.0594,in
203,1.4875922276172682,50.072414,in
204,4.479806613777186,167.46465,in
205,2.2104603322209195,11.053664999999999,in
206,1.4328882481094585,172.57832,in
207,1.7646907297144383,132.88841000000002,in
208,1.503237354106818,122.98353600000002,in
209,1.6934345048143589,1.9760284,in
210,1.341023060513986,0.47062945,in
211,1.9030308859067395,179.26842,in
212,2.8203966722285516,167.51085,in
213,1.4267250694896516,13.527989999999999,in
214,1.5674242173928823,6.413139,in
215,1.9800579038551362,153.63733,in
216,1.4692273889088543,175.75868,in
217,1.3881884776188587,50.726807,in
218,1.6291402983440855,2.7135682,in
219,1.5246828894233972,168.20593,in
220,1.2563104389939992,28.582382,in
221,1.6370908182872121,145.86736000000002,in
222,1.2214763767914205,21.146152,in
223,1.3736792827495015,82.38221,in
224,2.6104423035773077,162.21646,in
225,2.4723796373955254,4.24823,in
226,1.2322577565226212,155.6354,in
227,1.2192926715629229,36.11796,in
228,1.3398296197099018,101.46825,in
229,1.2771942437161827,174.41296,in
230,1.2482555476291708,29.006446999999998,in
231,1.8741646064416648,158.95422,in
232,1.2712480351749509,11.204725999999999,in
233,1.547286351321945,139.09201000000002,in
234,1.1397226318841995,57.36096,in
235,1.3979032609026953,3.5938160000000003,in
236,1.6245893499614144,7.0855393,in
237,1.938868767866273,130.98695,in
238,1.9924877704106436,171.74843,in
239,2.3667779186653157,11.268884,in
240,1.622927679804472,175.27435,in
241,1.1941493363124032,41.001305,in
242,1.3451296509382156,136.47693,in
243,1.2203874419636016,38.3991,in
244,2.1158703275557706,1.6286381,in
245,1.3448739626016213,108.32094599999999,in
246,1.2746928791467618,165.64003,in
247,1.1508011911485512,17.682920000000003,in
248,1.4655883757017705,138.77902,in
249,1.3078584508481326,103.292854,in
250,1.2057518407360732,78.33263000000001,in
251,1.25360943734943,122.03872,in
252,1.2653660953368364,6.0869055,in
253,2.407904211892007,9.281068,in
254,1.247994580398987,132.34773,in
255,1.6218861725297014,8.901078,in
256,2.426454739195185,2.7103014,in
257,1.3293853184861357,139.43697,in
258,2.058731206851341,5.2259107,in
259,1.1953894870508692,140.57083,in
260,1.6698417752453247,5.7153220000000005,in
261,1.8060814263830738,164.88464,in
262,1.5918875928189322,4.7533,in
263,1.3674803376632148,3.273977,in
264,5.3576293876511585,147.39778,in
265,1.3491713287835914,164.16074,in
266,1.7065326733705952,173.79908999999998,in
267,1.220042197839566,36.043602,in
268,1.3047198093884875,93.53471,in
269,1.5451974223141935,2.5554004,in
270,1.1882925690511041,154.56255,in
271,1.9617817114339533,4.669632,in
272,2.441585973685901,146.8791,in
273,1.3203383227041325,21.74748,in
274,1.7487299826401326,1.3939852,in
275,1.259978125592368,4.51957,in
276,1.9616995920216955,146.17738,in
277,1.6110523981077511,163.43393,in
278,1.1460207054097309,85.13514,in
279,1.5735660248669725,173.53783,in
280,1.5041761840315613,4.217331400000001,in
281,1.4824293864887295,7.13693,in
282,1.8167373999440666,6.795611999999999,in
283,1.8210331295077236,178.23924,in
284,2.339327491007141,22.675203,in
285,1.673405537649195,166.8039,in
286,1.2573633128452821,118.586845,in
287,1.2044370455122562,145.54303000000002,in
288,1.6235116105917338,3.213934,in
289,1.1553122385783807,65.6769,in
290,2.751330330133668,163.58167,in
291,1.2565954324257602,51.96225,in
292,4.243922928990588,1.4494526,in
293,1.695506511483302,178.6816,in
294,1.9628486549311397,7.889034,in
295,1.3652342656798389,4.871777,in
296,1.451681898002186,174.79007,in
297,1.227316986391056,6.306361,in
298,1.3208924789064473,65.51586999999999,in
299,4.02955768202285,1.3934058,in
300,1.9789160034864746,167.86925,in
301,2.5089809018677665,177.81961,in
302,1.2176899853105938,29.310858000000003,in
303,2.555249198565228,174.985,in
304,1.3075006426576588,149.454,in
305,1.1999323741564218,79.21415999999999,in
306,1.1143546680185341,53.763256000000005,in
307,1.5841573210181243,5.259835,in
308,1.192631281609877,13.262428,in
309,1.3232847355420347,147.81298999999999,in
310,1.1696752206464458,79.14929000000001,in
311,1.4126086233566584,169.0041,in
312,1.2057091425252477,8.838861999999999,in
313,2.836527036656803,10.28202,in
314,1.4010505835505,12.292349,in
315,1.9024047744810493,0.45548588,in
316,1.8553033094416898,168.67911,in
317,1.4440179505999182,2.0255575,in
318,2.2653263221505293,1.5782132,in
319,1.5254171300282457,174.87779,in
320,1.920292694266366,5.927525,in
321,1.6839632334989894,8.632469,in
322,1.7551485163746348,141.74612,in
323,1.2779044900043617,110.24131000000001,in
324,1.5518225958599736,5.7936254,in
325,1.3639984301192938,9.781203,in
326,1.327733108807038,5.347499,in
327,1.8398693064544855,0.85327965,in
