alpha,a,b,c,phi1,PHI,phi2,volume,old_gid,phaseID,GrainID,final_discrete_volume,final_conti_volume
1.7776503562927246,8.287893191583564,4.791376372221679,8.287893191583564,340.0005687063277,109.03803272979819,339.37498116114307,3446.4912109375,447,1,1,3580.625,3446.491375067301
1.7310729026794434,7.831331953826816,5.007693979117258,7.831331953826816,234.80773305809726,76.41340618227518,162.1936520675501,3216.160400390625,714,1,2,3442.625,3216.1601433038413
178.5791015625,8.443619635966934,2.941162885497828,8.443619635966934,111.357087997412,108.47444386819635,291.68560556039387,2195.86181640625,29,1,3,2436.375,2195.861869267405
4.217331409454346,5.901047094241329,3.9231090432527767,5.901047094241329,118.02622347186126,113.58884989191823,69.28058500681752,1430.5965576171875,901,2,4,1597.0,1430.5965018393192
178.99386596679688,5.867331777973931,3.2753546317840514,5.867331777973931,100.43001443016844,101.48322412615858,118.53788927313683,1180.7779541015625,681,2,5,1179.875,1180.7779670198456
1.5008517503738403,6.225273879914689,2.6106881050052007,6.225273879914689,86.78314900792661,76.96848048009262,227.64540245625088,1059.4990234375,61,1,6,1055.125,1059.4989586512481
178.09986877441406,5.563630429100771,3.0168857649876277,5.563630429100771,200.76958168391306,100.04956267982615,324.80039231481555,977.9215698242188,439,2,7,969.125,977.9215831268239
0.8704026937484741,5.089114484607792,3.51688977606809,5.089114484607792,339.3764549721759,3.737705948225138,299.24834552132154,953.8319091796875,510,2,8,950.25,953.8318428202365
176.1645050048828,5.849312776635853,2.0621091708935726,5.849312776635853,340.43864230925095,54.448566344278845,271.2366232138251,738.8392944335938,908,1,9,797.0,738.8392540397239
178.6788330078125,6.934803809648751,1.4445199069599943,6.934803809648751,170.15982941068407,129.1080115336185,355.36913487630596,727.4791259765625,28,1,10,779.875,727.4790774983358
139.03973388671875,4.957751829621158,2.2132499696851826,4.957751829621158,147.09915143181982,73.12633089664764,52.457144245182164,569.677001953125,802,1,11,561.25,569.6769556189993
141.19833374023438,4.750719698311284,2.121755413560621,4.750719698311284,231.42176970790905,61.825991703150095,208.2360774241368,501.4674377441406,61,1,12,533.375,501.46745275551314
3.403209924697876,4.200264450969285,2.633680627565847,4.200264450969285,226.22201185743822,63.43543863026182,9.604470212551085,486.5696716308594,258,2,13,507.5,486.56962809017665
3.3670969009399414,4.139849659441374,2.6227505452520514,4.139849659441374,163.91433296826105,64.54498205180533,107.78383468182864,470.7114562988281,608,2,14,560.125,470.71142937370814
8.268295288085938,4.450583010806036,2.2586180676980527,4.450583010806036,185.36897689165372,125.69461506176266,352.5003797031541,468.49530029296875,828,1,15,459.125,468.4952882283881
144.8448028564453,4.769366889529692,1.920615548740129,4.769366889529692,284.9585012862346,94.51639142279946,89.15813118427974,457.4994201660156,163,1,16,463.0,457.4993940322553
3.210951089859009,5.665940004795387,1.3286900197050877,5.665940004795387,175.62070268146755,70.34998603029737,113.11308467240443,446.67974853515625,311,1,17,414.5,446.67971872418053
32.35416793823242,4.083817440937645,2.531207153337017,4.083817440937645,177.40660570271282,116.67820690370428,91.2170578040575,442.06787109375,158,1,18,443.625,442.0678651466746
177.45773315429688,4.46448540094287,2.017341155831264,4.46448540094287,218.88222094879373,128.4851034739586,90.66881482013825,421.06658935546875,758,1,19,424.125,421.0665877887298
177.77830505371094,4.5034430109487475,1.9491679733456424,4.5034430109487475,124.45862743775179,61.62944556131036,315.22076758957735,413.96844482421875,587,2,20,425.5,413.96843497714707
1.1655404567718506,4.489261308197339,1.900749219443004,4.489261308197339,101.00803698779299,67.93612450931481,106.52921707286053,401.146728515625,74,1,21,402.375,401.14668660233076
8.083573341369629,4.325580602689432,1.8858869776545704,4.325580602689432,281.16328530322585,109.834833903882,285.2460419124615,369.515869140625,399,1,22,410.625,369.51587211400675
169.87168884277344,4.415944381895738,1.747023637122542,4.415944381895738,205.62745462050967,146.8387646389426,61.772312050230504,356.75872802734375,248,1,23,373.625,356.7587131659772
155.1247100830078,4.314733084481833,1.745553469027329,4.314733084481833,315.42104955305877,52.3243865088984,40.58210924188846,340.3060302734375,27,1,24,360.75,340.30602959692544
142.79617309570312,4.216591415135289,1.7931959446634185,4.216591415135289,105.75978909864531,48.60407699989304,191.33370063574728,333.8715515136719,484,1,25,334.125,333.8715446787153
11.578495025634766,3.8208019269145153,2.099573775923801,3.8208019269145153,55.57329074229739,43.52671969706945,179.99318121017168,320.9732360839844,667,1,26,373.5,320.9732250703773
22.692798614501953,3.3143301599576573,2.6319987791558135,3.3143301599576573,224.1782795469604,22.017697204235123,330.98205592778856,302.76513671875,333,1,27,337.625,302.76511882746036
1.1969801187515259,3.4769347213920456,2.1054869469421984,3.4769347213920456,178.33586566946062,125.08195434673812,107.62933485837225,266.5472717285156,704,1,28,283.0,266.547273977804
2.441128730773926,5.129930314008002,0.9445770284517787,5.129930314008002,319.8416332006052,50.96900982794817,232.76077375524164,260.3088684082031,413,2,29,277.0,260.30884714903
147.7476348876953,3.417397568746162,2.0782016178643192,3.417397568746162,327.1604695386209,129.60830785571557,139.26434111180592,254.1600799560547,531,1,30,261.125,254.16006260959014
18.00567626953125,3.362849747470841,2.0865012428883882,3.362849747470841,44.76760188405981,50.827131928654104,26.995151760267778,247.09400939941406,239,1,31,254.625,247.09399583557013
5.636147499084473,3.33249145262769,2.050381203110969,3.33249145262769,159.46674908581508,79.64724126078694,144.00608036476524,238.45220947265625,334,1,32,250.625,238.45219147536997
