,AR (-),slope (°),inout
0,1.566057139926139,174.25826,in
1,1.5443309705628379,120.84360500000001,in
2,1.923143331496117,152.1179,in
3,1.509816531371875,57.904880000000006,in
4,2.0316581194863255,0.5667587,in
5,1.33238857912003,115.12165,in
6,1.4954585828486289,178.00482,in
7,6.496320142780379,167.60114,in
8,2.5173179564757375,179.0733,in
9,1.6880119686243615,0.98871887,in
10,1.7947615201189737,170.50863999999999,in
11,1.9610623525135285,1.1916202,in
12,1.6966242652422918,176.34174,in
13,1.3121818247970514,78.03296,in
14,1.5839270080556722,12.146492,in
15,1.459614031903185,33.7015,in
16,2.5799252334642824,130.97717,in
17,1.296663333742752,25.885685000000002,in
18,3.703169564792843,0.99096656,in
19,1.2509459153197668,65.45003,in
20,1.585693855518335,92.4913,in
21,1.6945839776075728,176.65378,in
22,1.3667505668711042,159.0349,in
23,1.5454562463902448,141.87997,in
24,1.4529841721282244,148.37305,in
25,2.2653263221505293,1.5782132,in
26,1.9077991162287913,4.675425499999999,in
27,1.7945692113228329,3.2832038,in
28,2.454313356309453,0.7889986,in
29,2.185635621933678,169.25105,in
30,1.9876161357539721,147.69513999999998,in
31,2.2910242208493647,7.1559734,in
32,1.1833093661406275,9.815191,in
33,2.518464680859121,7.982658,in
34,1.2836065037561095,166.40057,in
35,1.3960939081157662,16.508667000000003,in
36,1.8224530672534338,0.84931004,in
37,1.4338593298393623,18.523815,in
38,1.7952343195838785,176.0594,in
39,2.555249198565228,174.985,in
40,1.4355083970287439,4.956196,in
41,2.024198688742681,175.37400000000002,in
42,1.4281514031934657,7.547206399999999,in
43,1.2522509944633158,82.15659000000001,in
44,1.6939099001200335,1.3401646999999999,in
45,1.542342550839838,145.10521,in
46,1.2310213083944672,4.291649,in
47,1.1576550365462028,66.180504,in
48,1.7070054015628198,88.021835,in
49,1.7472045947351744,164.82668999999999,in
50,1.8295676025470844,96.243996,in
51,1.3267911912487382,172.62636,in
52,1.8104473143696755,5.668985,in
53,1.2618846000953066,32.306346999999995,in
54,1.37632277304567,168.0758,in
55,1.6245893499614144,7.0855393,in
56,1.2849367618662388,82.10056999999999,in
57,1.2417166040123573,149.85936,in
58,2.305010773271611,12.884064,in
59,1.7565414879798433,60.528633,in
60,1.2779044900043617,110.24131000000001,in
61,1.6813539025219544,178.57898,in
62,1.3914111085525835,14.718785999999998,in
63,1.6370493919484972,3.2115576,in
64,1.618875653039411,170.82335,in
65,1.6976616111503746,162.62662,in
66,1.3895819076383846,7.8149630000000005,in
67,1.557958654448167,64.78886999999999,in
68,1.3363509622883445,17.82501,in
69,1.3567839052539639,4.9953127,in
70,1.5333414907255698,109.31493999999999,in
71,1.8423528559405256,175.30263,in
72,1.8962273000667689,174.62503,in
73,1.2702159685142953,101.55189,in
74,1.3924219660284005,43.02114,in
75,1.3678853285518988,171.20842,in
76,1.605133939882962,5.699674,in
77,1.2162997714676627,23.300922,in
78,1.2804888860367172,174.31128,in
79,1.1460207054097309,85.13514,in
80,1.285798883792266,12.726453999999999,in
81,1.6447581800159463,9.785768,in
82,1.2215430750530711,134.52428999999998,in
83,1.6218051387728736,13.333522,in
84,1.244133651285652,118.88125,in
85,1.6620058167615024,166.72353,in
86,1.88799760510414,170.78513,in
87,1.1760383380694956,12.833596,in
88,1.2945952546861454,170.46333,in
89,1.3365947190661518,72.02675,in
90,1.8950296272969127,167.83003,in
91,1.59570938845716,8.045791,in
92,2.0441923902322343,36.17488,in
93,1.2231705762099192,53.91575,in
94,1.2544327420064405,84.62045,in
