0,1,2,3
0.0,4.227742105057579e-05,4.227742105057579e-05,234714804.3566749
0.0019980213885568876,521896692.3593319,521314596.9255364,234820622.6803887
0.0039925241604230124,690415213.9991066,688493237.5480567,235836579.76609963
0.005984335703709387,757326450.6571393,753846160.5136887,237158037.4428214
0.007973946362900523,803881108.4904627,798714483.4579387,238558001.82345435
0.009961538241244655,839295213.961341,832352767.3030199,239991208.64145428
0.011947091935122164,866487801.690008,857710595.2969759,241439216.02241513
0.013930514657984342,887625179.0299017,876974979.7910422,242892083.48341966
0.01591166671230791,904407147.0070537,891858168.4109763,244344422.0154347
0.01789040116976727,918164624.3821181,903697240.5567719,245792762.32320094
0.01986658390412212,929841053.5834758,913438640.5026493,247234744.4728559
0.02184010379141536,940073384.1193942,921720554.1444389,248668821.43391445
0.023810870731314226,949281842.5297476,928963893.7276155,250094158.30895215
0.02577880054180616,957700455.4876683,935403918.8235856,251510474.24290663
0.02774381360203104,965586543.1204932,941297126.8501832,252917506.05768755
0.029705866317618148,972973929.784299,946679701.6440157,254315244.60394445
0.03166487899406691,980049175.2703451,951737820.817222,255703379.5174983
0.03362081353005299,986792785.9655694,956452292.3428458,257081993.1043091
0.035573608967447795,993303092.5886511,960922186.4211142,258450969.36501265
0.03752322506552884,999595594.7471739,965164076.9032861,259810362.6117029
0.0394696039428799,1005726329.8334562,969232469.2639446,261160179.01905972
0.041412732241099454,1011659324.2964238,973095025.9657528,262500718.73060215
0.04335255503758616,1017448674.352455,976801643.1806135,263831865.04862398
0.045289031115136685,1023136127.9679619,980397829.178226,265153899.09702945
0.04722213619529085,1028682119.4271551,983844155.1123188,266467085.68977347
0.04915184119772907,1034118093.4199623,987172934.2565835,267771505.73235768
0.051078105328947035,1039480693.7703027,990416392.0303645,269067183.8938109
0.05300091677116468,1044731079.111929,993542150.7000731,270354499.8116071
0.0549202423047485,1049893307.3567498,996572939.0506622,271633545.5417612
0.05683606452655729,1054968516.9295816,999509576.7088312,272904504.0019316
0.05874834668492808,1059993068.3502733,1002384681.9035904,274167433.00555366
0.060657090795427,1064913349.4117198,1005150447.4992542,275422635.25648737
0.062562246323269,1069785159.7500175,1007862416.1250552,276670128.18869025
0.06446381798621316,1074603010.9037237,1010510928.7029994,277910040.2567997
0.06636178168876154,1079332446.0374775,1013065172.8428092,279142516.0516845
0.06825611150684445,1084019910.8044791,1015574761.6082302,280367684.5231645
0.07014680053480128,1088664336.6159742,1018032377.5065385,281585662.5484184
0.07203383350660805,1093225859.2121425,1020401155.7392617,282796563.62108505
0.0739171884951498,1097749057.0020432,1022730155.4073693,284000514.07054543
0.07579685712053055,1102241823.8039494,1025019305.979431,285197578.8971736
0.07767283332831515,1106653513.7579775,1027222246.0770415,286387902.199326
0.079545095858079,1111031876.893744,1029391790.0569148,287571614.8811187
0.08141363844782223,1115385293.2821438,1031526617.4504335,288748752.66050416
0.08327846196980554,1119659068.6041737,1033577583.4756113,289919458.1512028
0.08513954435857264,1123902928.3208115,1035599949.2161398,291083827.73089457
0.08699687826855196,1128128037.6930087,1037593141.8853937,292241848.67633605
0.08885046994023058,1132277079.4379427,1039506863.2894126,293393668.039294
0.09070029694413095,1136401365.0218437,1041397712.8409358,294539359.9743422
0.09254635669918229,1140507148.2002764,1043260005.0726806,295678913.3240125
0.09438866206183735,1144538267.2884586,1045044333.9884467,296812437.2523073
0.09622717774744341,1148569099.2310982,1046833382.1412308,297939973.6712528
0.09806190817941413,1152579479.738946,1048585422.4900413,299061499.96819955
0.09989287886263666,1156487527.619336,1050245852.1704905,300177294.7728208
0.10172005867220985,1160396172.5955424,1051891234.1305106,301287235.65854174
0.10354344973368007,1164286901.9743752,1053519080.6639426,302391377.106202
0.1053630644796731,1168110518.3926663,1055081862.4616343,303489901.927798
0.10717888847403355,1171906467.3369346,1056613107.9383646,304582713.0818668
0.10899090337573611,1175720170.1413372,1058155066.8989794,305669924.0665812
0.11079914419490157,1179482535.6283433,1059649121.187285,306751627.82440776
0.11260361156271215,1183165124.641647,1061059697.2787728,307827951.63778263
0.11440427842740845,1186868887.9050813,1062492916.6031493,308898894.44380957
0.11620117596287301,1190526656.499942,1063871089.5148345,309964452.3560133
0.11799428275339365,1194193761.284082,1065257133.2052546,311024713.5710334
0.11978362681006752,1197815492.7998378,1066594663.7068949,312079764.6075256
0.12156921186896598,1201412147.334676,1067906974.5118543,313129660.67925626
0.12335104203631818,1204966290.91156,1069179296.2691714,314174429.45226854
0.12512911341531446,1208496068.140027,1070419792.3232569,315214139.6079513
0.12690343780927013,1212017628.384061,1071652034.7899768,316248780.5864196
0.128674026701896,1215511413.1237855,1072862017.4311385,317278420.17383534
0.13044088141644344,1218965098.4262254,1074021662.945197,318303127.64197963
0.13220401734659196,1222400884.7724798,1075168712.184988,319322895.8534684
0.13396341984303606,1225868222.613702,1076339720.9099355,320337597.5299388
0.1357191267639306,1229260411.9888613,1077437481.0505135,321347575.49834967
0.13747113521940113,1232616492.5257893,1078499169.3466265,322352765.4550469
0.13921946083265477,1235906437.5129187,1079494483.9753199,323353290.7536952
0.140964090150773,1239240870.4999256,1080530715.692051,324348960.82709974
0.142705042656649,1242592313.5670822,1081585226.20788,325339800.47554284
0.14444233968320172,1245837389.6634352,1082536051.8344522,326326176.08162415
0.14617598139526303,1249055627.7827678,1083455368.038524,327307942.9995406
